,price,offer date,ID,Oferta od,Kategoria,Marka pojazdu,Model pojazdu,Wersja,Generacja,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Typ,Liczba drzwi,Kolor,Zarejestrowany w Polsce,Stan,ABS,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Hak,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Klimatyzacja manualna,Centralny zamek,Immobilizer,Wspomaganie kierownicy,Poduszki boczne przednie,Napęd,Liczba miejsc,Metalik,Kraj pochodzenia,Pierwsza rejestracja,Numer rejestracyjny pojazdu,Bezwypadkowy,ASR (kontrola trakcji),Klimatyzacja automatyczna,Podgrzewane przednie siedzenia,Światła przeciwmgielne,Alarm,ESP (stabilizacja toru jazdy),Komputer pokładowy,Przyciemniane szyby,Tapicerka welurowa,Radio fabryczne,Alufelgi,Nawigacja GPS,Relingi dachowe,Tempomat,Emisja CO2,Filtr cząstek stałych,Okres gwarancji producenta,Serwisowany w ASO,Asystent parkowania,Czujnik zmierzchu,Elektryczne szyby tylne,Gniazdo AUX,Isofix,Ogranicznik prędkości,Podgrzewane lusterka boczne,System Start-Stop,Bluetooth,Czujniki parkowania przednie,Elektrycznie ustawiane fotele,Gniazdo USB,Kurtyny powietrzne,Ogrzewanie postojowe,Poduszki boczne tylne,Światła LED,Tempomat aktywny,Czujnik deszczu,Czujniki parkowania tylne,Klimatyzacja czterostrefowa,Podgrzewana przednia szyba,Poduszka powietrzna chroniąca kolana,VAT marża,Gniazdo SD,Kamera cofania,Odtwarzacz DVD,Zmieniarka CD,Asystent pasa ruchu,Czujnik martwego pola,MP3,Światła do jazdy dziennej,Światła Xenonowe,Tapicerka skórzana,Wielofunkcyjna kierownica,lub do (przebieg km),Pierwszy właściciel,Elektrochromatyczne lusterko wsteczne,Perłowy,Możliwość finansowania,Elektrochromatyczne lusterka boczne,Faktura VAT,Leasing,Klimatyzacja dwustrefowa,Szyberdach,Dach panoramiczny,Łopatki zmiany biegów,Regulowane zawieszenie,Gwarancja dealerska (w cenie),Tuner TV,Akryl (niemetalizowany),Tuning,Radio niefabryczne,Uszkodzony,HUD (wyświetlacz przezierny),Podgrzewane tylne siedzenia,VIN
10,52900,"16:28, 11 lutego 2021",6081831344,Firmy,Osobowe,Volkswagen,Passat,2.0 TSI Highline DSG,B7 (2010-2014),2014,128 138 km,1 984 cm3,Benzyna,211 KM,Automatyczna,Kombi,5,Szary,Tak,Używane,True,True,True,,,True,True,,True,True,True,True,Na przednie koła,5,,Polska,01/08/2014,SB1454X,,True,True,True,,,True,True,True,,True,True,True,True,True,183 g/km,,,Tak,,True,True,True,True,,True,,True,True,True,,True,,,,,True,True,,,,,True,,,,,,True,True,,,True,,Tak,True,,Tak,,Tak,,True,,,True,True,,,,,,,,,
11,22900,"16:28, 11 lutego 2021",6081831282,Firmy,Osobowe,Volkswagen,Passat,,B6 (2005-2010),2007,197 300 km,1 968 cm3,Diesel,170 KM,Automatyczna,Kombi,5,Inny kolor,,Używane,True,True,True,,True,True,True,,True,True,True,True,Na przednie koła,5,,Francja,14/04/2007,,,,True,True,True,,True,True,True,,True,True,,True,True,,,,,,,True,True,True,,,,,True,,,True,,True,,,,True,,,,Tak,,,,,,,,,,,True,,,True,,Tak,True,,,True,,,,,3 miesięcy,,,,,,,,
12,7300,"16:21, 11 lutego 2021",6081529955,Firmy,Osobowe,Volkswagen,Passat,,B5 (1996-2000),1999,232 000 km,1 595 cm3,Benzyna,100 KM,Manualna,Sedan,4,Niebieski,Tak,Używane,True,True,True,,True,True,True,True,True,True,True,True,Na przednie koła,5,Tak,Niemcy,09/07/1999,,,,,,True,,True,True,True,,True,True,,,,,,,Tak,,,,,True,,True,,,,,,True,,True,,,,,,,,Tak,,,,,,,True,,,,,,,,,Tak,True,,,,,,,,,,,,,,,,
13,22900,"16:20, 11 lutego 2021",6081530156,Firmy,Osobowe,Volkswagen,Passat,1.6 TDI DPF BlueMot Trendline,B7 (2010-2014),2011,299 000 km,1 598 cm3,Diesel,105 KM,Manualna,Kombi,5,Niebieski,,Używane,True,True,True,,True,True,True,True,True,True,True,True,Na przednie koła,5,Tak,Niemcy,,,Tak,,,True,True,,,True,,,True,,,True,True,118 g/km,,,Tak,,True,True,True,,,,,True,,,,True,,True,,,True,,,,True,Tak,,,,,,,True,,,,True,,,,,,,,,True,,,,,,,,,,,,,
14,19900,"16:11, 11 lutego 2021",6077225441,Osoby prywatnej,Osobowe,Volkswagen,Passat,1.6 Comfortline,B6 (2005-2010),2007,165 000 km,1 595 cm3,Benzyna,102 KM,Manualna,Kombi,5,Niebieski,,Używane,True,True,True,True,True,True,True,,True,True,True,,,5,,,,,,,True,True,True,,True,True,,,True,,,True,True,,,,,,,,,True,,True,,,,,True,,,,,,True,,,True,,,,,,,,,True,,,,,,,True,,Tak,True,,,True,,,,,,,,,,,,,
15,42500,"16:07, 11 lutego 2021",6051157770,Firmy,Osobowe,Volkswagen,Passat,Alltrack 2.0 TDI 4Motion DSG BlueMotion Tec,B7 (2010-2014),2012,242 000 km,1 968 cm3,Diesel,170 KM,Automatyczna,Kombi,5,Szary,Tak,Używane,True,True,True,,True,True,True,,True,True,True,True,4x4 (stały),5,Tak,,13/09/2012,,Tak,True,True,,True,True,True,True,True,,True,True,True,True,True,155 g/km,,,,True,True,True,True,True,,True,True,True,True,True,True,True,,True,,,,True,,,,Tak,True,,,,,,,True,,,True,,,,,Tak,,,,True,,,True,,,,,,,,,,
16,6000,"16:04, 11 lutego 2021",6081830199,Osoby prywatnej,Osobowe,Volkswagen,Passat,1.9 TDI,B5 (1996-2000),1998,180 000 km,1 896 cm3,Diesel,110 KM,Manualna,Kombi,5,Zielony,,Używane,True,True,True,,,,True,True,True,,True,,Na przednie koła,5,,,,,,,,,,,,,,,True,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
17,6999,"16:03, 11 lutego 2021",6072688061,Firmy,Osobowe,Volkswagen,Passat,1.9 TDI Comfortline,B5 FL (2000-2005),2003,271 000 km,1 896 cm3,Diesel,130 KM,Manualna,Sedan,4,Srebrny,Tak,Używane,True,True,True,,True,True,True,,True,True,True,True,Na przednie koła,5,,Polska,,,Tak,,True,,,True,True,True,True,True,True,True,,,,,,,Tak,,,True,,True,,True,,,,,,True,,True,,,,,,,,,,,,True,,,,,,,,,Tak,True,,,,,,True,,,,,,,,,,,,,
18,55900,"16:01, 11 lutego 2021",6080853736,Osoby prywatnej,Osobowe,Volkswagen,Passat,2.0 TDI BMT Comfortline,B8 (2014-),2015,178 000 km,1 968 cm3,Diesel,150 KM,Manualna,Kombi,5,Czarny,Tak,Używane,True,True,True,,True,True,True,,True,True,True,True,Na przednie koła,5,Tak,Polska,,,Tak,True,True,,True,True,True,True,,True,True,True,True,True,True,110 g/km,,,Tak,,True,True,,True,,True,True,True,True,True,,True,,,True,,True,True,,,,,,,,,,,True,True,,,True,,Tak,True,,Tak,True,Tak,,True,,,,,,,,,,,,,
19,73185,"15:56, 11 lutego 2021",6082222549,Osoby prywatnej,Osobowe,Volkswagen,Passat,2.0 TDI BMT Comfortline,B8 (2014-),2018,97 000 km,1 968 cm3,Diesel,150 KM,Manualna,Sedan,4,Brązowy,Tak,Używane,True,True,True,,,True,,,True,True,True,,Na przednie koła,5,Tak,Polska,,,Tak,,True,,True,True,,,,,,True,,,True,109 g/km,,01/08/2023,Tak,True,True,True,,,,,True,True,True,True,,,,,True,,True,True,,,,,,,,,True,True,,True,,,,150 000 km,Tak,True,,,True,Tak,,,,,,,,,,,,,,,
20,24900,"15:49, 11 lutego 2021",6078698696,Osoby prywatnej,Osobowe,Volkswagen,Passat,2.0 TSI Highline,B6 (2005-2010),2009,191 000 km,1 984 cm3,Benzyna,200 KM,Manualna,Kombi,5,Czarny,Tak,Używane,True,True,True,True,True,True,True,,True,True,True,True,Na przednie koła,5,Tak,Niemcy,,,Tak,True,True,True,True,True,True,True,,,True,True,True,True,True,,,,Tak,,True,True,True,True,,True,,,True,True,True,True,,True,,,True,True,,,True,,,,,,,,True,True,True,True,True,,Tak,True,Tak,,True,,,True,,,,,,,,,,,,,
21,14999,"15:39, 11 lutego 2021",6081829580,Osoby prywatnej,Osobowe,Volkswagen,Passat,2.0 TDI Comfortline,B6 (2005-2010),2009,360 000 km,1 968 cm3,Diesel,140 KM,Manualna,Kombi,5,Srebrny,Tak,Używane,True,True,True,,True,True,True,,True,True,True,True,Na przednie koła,5,,,27/05/2009,DGL50445,Tak,True,True,True,True,True,True,,,True,True,True,True,True,True,156 g/km,,,,,True,,,True,,True,,True,True,,,True,,True,,,True,True,,,,,,,,,,,,,,,,,,True,,,True,,,True,,,,,,,,,,,,,
22,32500,"15:37, 11 lutego 2021",6080767692,Osoby prywatnej,Osobowe,Volkswagen,Passat,2.0 TDI Highline,B7 (2010-2014),2012,277 000 km,1 968 cm3,Diesel,170 KM,Manualna,Kombi,5,Srebrny,Tak,Używane,True,True,True,,True,True,True,,True,,True,True,Na przednie koła,5,Tak,Polska,,,,True,True,True,True,,True,True,,,True,True,True,True,,123 g/km,,,Tak,True,True,True,,True,True,True,True,True,True,True,,True,,,,True,True,True,,True,,,True,True,,True,,,,True,True,,True,277 000 km,,,,,,Tak,,True,,,,,,,,,,,,,
23,69000,"15:31, 11 lutego 2021",6082219307,Osoby prywatnej,Osobowe,Volkswagen,Passat,,B8 (2014-),2017,110 000 km,1 968 cm3,Diesel,149 KM,Manualna,Sedan,4,Szary,,Używane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tak,,,,,,,,,,,,,,,
24,58900,"15:30, 11 lutego 2021",6082221370,Firmy,Osobowe,Volkswagen,Passat,,B8 (2014-),2017,192 000 km,1 968 cm3,Diesel,149 KM,Manualna,Sedan,4,Szary,Tak,Używane,True,True,True,,True,True,True,,True,True,True,True,Na przednie koła,5,Tak,Polska,08/06/2017,WE939PM,Tak,True,True,,True,True,True,True,True,True,True,True,True,,True,110 g/km,,,Tak,True,True,True,,True,True,True,,True,True,,True,True,,True,True,True,True,True,True,True,,,True,,,,True,,True,True,True,,True,,Tak,True,,Tak,True,Tak,Tak,True,,,,,,,,,,,,,
25,20900,"15:24, 11 lutego 2021",6081828650,Osoby prywatnej,Osobowe,Volkswagen,Passat,3.2 V6 FSI 4Mot Comfortline DSG,B6 (2005-2010),2006,238 000 km,3 189 cm3,Benzyna,250 KM,Automatyczna,Kombi,5,Brązowy,,Używane,,,,,,,,,,,,,4x4 (dołączany automatycznie),5,,,,,Tak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,13900,"15:19, 11 lutego 2021",6081529012,Osoby prywatnej,Osobowe,Volkswagen,Passat,2.0 TSI Comfortline,B6 (2005-2010),2007,210 000 km,1 984 cm3,Benzyna,200 KM,Manualna,Kombi,5,Czarny,,Używane,,,,,,,,,,,,,Na przednie koła,5,,,04/12/2007,BRAK,,,,,,,,,,,,,,,,194 g/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,29900,"15:19, 11 lutego 2021",6081486284,Firmy,Osobowe,Volkswagen,Passat,2.0 TDI DPF Highline,B7 (2010-2014),2011,268 000 km,1 968 cm3,Diesel,140 KM,Manualna,Kombi,5,Inny kolor,Tak,Używane,True,True,True,True,True,True,True,,True,True,True,True,Na przednie koła,5,Tak,Niemcy,,,Tak,True,True,True,True,,True,True,True,,True,True,,True,True,153 g/km,,,,True,True,True,True,True,,,True,True,True,True,,True,,True,,,True,True,,True,True,Tak,True,True,True,,,True,True,True,,,True,,Tak,True,,Tak,True,,,True,,,,,,True,,,,,,,
28,21900,"15:17, 11 lutego 2021",6081528960,Firmy,Osobowe,Volkswagen,Passat,,B6 (2005-2010),2006,242 000 km,1 896 cm3,Diesel,105 KM,Manualna,Sedan,4,Złoty,,Używane,True,True,True,,True,True,True,,True,True,True,True,,5,Tak,Belgia,,,Tak,,True,True,True,True,True,True,,,True,True,True,,True,,,,Tak,,,True,,True,,True,True,,True,True,,,,True,,,,True,,,,Tak,,,,,,,,,,True,True,,,True,,Tak,,,,True,,,,,,,,,,,,,
29,69900,"15:15, 11 lutego 2021",6081528324,Osoby prywatnej,Osobowe,Volkswagen,Passat,1.8 TSI BMT Comfortline,B8 (2014-),2016,110 000 km,1 798 cm3,Benzyna,180 KM,Manualna,Sedan,4,Niebieski,Tak,Używane,True,True,True,,True,True,True,,True,True,True,True,Na przednie koła,5,Tak,Polska,,WG5460G,Tak,True,True,True,True,True,True,True,True,True,True,True,True,,True,134 g/km,,,Tak,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,,True,,True,True,,,True,,True,True,,,True,,Tak,True,,,True,,,,,,,,,,,,,,,,
30,16000,"15:02, 11 lutego 2021",6082219693,Osoby prywatnej,Osobowe,Volkswagen,Passat,2.0 TDI DPF Highline,B6 (2005-2010),2008,189 500 km,1 968 cm3,Diesel,170 KM,Manualna,Sedan,5,Czarny,,Używane,True,True,True,,True,True,True,,True,True,True,True,Na przednie koła,5,,,,FG3256G,,True,True,True,,True,True,True,,True,True,True,,,True,167 g/km,,,,,,True,True,,,True,,,True,True,,,,,,,True,True,,,,,True,,True,,,,,,True,True,True,,,True,,,,,,True,,,,,,,,,,,,,
31,7999,"14:59, 11 lutego 2021",6081525825,Osoby prywatnej,Osobowe,Volkswagen,Passat,1.9 TDI Highline,B5 FL (2000-2005),2001,299 999 km,1 896 cm3,Diesel,130 KM,Manualna,Kombi,5,Srebrny,,Używane,True,True,True,,,True,True,,True,True,True,True,Na przednie koła,5,Tak,,03/01/2002,,,True,True,,,True,True,True,,,True,True,,,True,,,,,,,,,,,True,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,16999,"14:45, 11 lutego 2021",6081527023,Firmy,Osobowe,Volkswagen,Passat,2.0 TDI DPF Highline DSG,B6 (2005-2010),2009,294 000 km,1 968 cm3,Diesel,140 KM,Automatyczna,Sedan,4,Biały,Tak,Używane,True,True,True,,True,True,True,,True,True,True,True,Na przednie koła,5,,,,,,True,,,True,True,True,,,True,True,True,,,True,163 g/km,,,,,,True,,True,,,,,True,,,True,,,,,,True,,,,Tak,,,,,,,,,,,,,,,,Tak,,,,True,,,,,,,Tak,,,,,,
33,56900,"14:42, 11 lutego 2021",6081827664,Firmy,Osobowe,Volkswagen,Passat,Variant 2.0 TDI SCR DSG BlueMotion,B8 (2014-),2016,118 291 km,1 968 cm3,Diesel,150 KM,Automatyczna,Kombi,5,Czarny,,Używane,True,True,True,,,True,True,,True,True,True,,Na przednie koła,5,Tak,Niemcy,,,,True,True,True,True,,True,True,True,,True,True,True,True,True,115 g/km,,,,,True,True,,True,,True,True,True,True,,True,True,,,,,True,True,,True,,,,,,,,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,
34,14900,"14:38, 11 lutego 2021",6081827309,Osoby prywatnej,Osobowe,Volkswagen,Passat,1.9 TDI Comfortline,B6 (2005-2010),2007,200 000 km,1 896 cm3,Diesel,105 KM,Manualna,Kombi,5,Biały,,Używane,True,True,True,,,True,True,,True,True,True,,,,,,01/06/2007,,,True,True,,,True,True,,,,,True,,,,153 g/km,,,,,,,True,,,,,True,True,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,26000,"14:37, 11 lutego 2021",6081218329,Osoby prywatnej,Osobowe,Volkswagen,Passat,2.0 TDI DPF Comfortline DSG,B6 (2005-2010),2009,282 500 km,1 968 cm3,Diesel,140 KM,Automatyczna,Kombi,5,Brązowy,Tak,Używane,True,True,True,True,True,True,True,,True,True,True,True,Na przednie koła,5,,Niemcy,,PSZ81374,,True,True,True,True,,True,True,True,,True,True,,True,True,180 g/km,,,,True,True,True,True,,True,True,,True,True,,,True,True,,,,True,True,,,,,True,,,True,,,True,True,True,True,True,,,True,,,,,,True,,,,,,,,,,,,,
36,87900,"14:34, 11 lutego 2021",6080531438,Firmy,Osobowe,Volkswagen,Passat,1.5 TSI EVO Essence,B8 (2014-),2019,20 000 km,1 498 cm3,Benzyna,150 KM,Manualna,Sedan,4,Biały,Tak,Używane,True,True,True,,True,True,True,,True,True,True,True,Na przednie koła,5,,Polska,04/12/2019,WP7464M,Tak,True,True,True,True,True,True,True,,True,True,True,,,True,,,04/12/2021,Tak,,True,True,True,True,,True,True,True,True,,True,,,,True,,True,True,,,,,,,,,,,True,True,,,True,,Tak,,,Tak,,Tak,,True,,,,,,,Tak,,,,,,
37,18900,"14:28, 11 lutego 2021",6081827047,Osoby prywatnej,Osobowe,Volkswagen,Passat,2.0 TDI DPF,B6 (2005-2010),2010,257 000 km,1 968 cm3,Diesel,110 KM,Manualna,Sedan,4,Biały,,Używane,True,True,True,True,True,True,True,,True,True,True,True,Na przednie koła,5,,Polska,08/09/2010,,,True,,,,True,True,True,,,True,True,,,,143 g/km,Tak,,,True,,,True,,,True,,,,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
38,15900,"14:26, 11 lutego 2021",6079611820,Osoby prywatnej,Osobowe,Volkswagen,Passat,2.0 TDI DPF BlueMot Comfortline,B6 (2005-2010),2009,263 000 km,1 968 cm3,Diesel,110 KM,Manualna,Kombi,5,Brązowy,Tak,Używane,True,True,True,,True,True,True,,True,True,True,True,Na przednie koła,5,Tak,Francja,14/05/2009,DZL TM55,Tak,,True,,True,,,,,,True,True,,True,True,129 g/km,,,,,,,True,True,,True,True,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,True,,,,,,True,,,,,,,,,,,,,
39,36500,"14:24, 11 lutego 2021",6076911800,Osoby prywatnej,Osobowe,Volkswagen,Passat,1.8 TSI Comfortline,B7 (2010-2014),2012,118 000 km,1 798 cm3,Benzyna,160 KM,Manualna,Sedan,4,Czarny,Tak,Używane,True,True,True,,True,True,True,,True,True,True,,Na przednie koła,5,Tak,,10/05/2012,,,,,,,,,,,,True,True,,,,,,,,,True,True,,,,,,True,True,True,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,Tak,,,,True,,,,,,,,,,,,,
40,31900,"14:21, 11 lutego 2021",6082218303,Firmy,Osobowe,Volkswagen,Passat,1.4 TSI DSG BlueMotion Technology,B7 (2010-2014),2013,172 000 km,1 390 cm3,Benzyna,160 KM,Automatyczna,Sedan,4,Czarny,Tak,Używane,True,True,True,,True,True,True,,True,True,True,True,Na przednie koła,5,Tak,,,,,True,True,,True,True,True,True,,,True,True,,,True,142 g/km,,,,,True,True,,True,,True,,,True,True,,True,,,,,True,True,,,,,,,,,,,,,,,,,,True,,,,,,True,,,,,,,,,,,,,
41,89900,"14:19, 11 lutego 2021",6079555996,Osoby prywatnej,Osobowe,Volkswagen,Passat,2.0 TDI Bi-Turbo BMT 4Mot Highline DSG,B8 (2014-),2015,123 000 km,1 968 cm3,Diesel,240 KM,Automatyczna,Kombi,5,Biały,Tak,Używane,True,True,True,,,True,True,,True,True,True,True,4x4 (dołączany ręcznie),5,Tak,Polska,19/05/2015,DSW 94153,Tak,True,True,True,True,True,True,True,True,True,True,True,True,True,,140 g/km,Tak,,Tak,True,True,True,True,True,,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,,True,,True,,,,True,True,True,,True,,,True,,,True,,,,True,True,True,True,,,,,,,,,
